Locality,First Degree,Apartment Worth,Poverty Rating,Neighborhood
Jerusalem,2.5,13598,5,111
Jerusalem,4,13305,5,112
Jerusalem,6.3,14869,5,113
Jerusalem,6,16348,5,114
Jerusalem,5.8,14398,5,115
Jerusalem,8.3,14598,5,116
Jerusalem,14.1,15096,2,121
Jerusalem,13,13795,2,122
Jerusalem,15.4,14155,3,123
Jerusalem,15.4,12873,3,124
Jerusalem,16.1,12873,3,125
Jerusalem,21.5,13823,2,131
Jerusalem,18.3,13270,2,132
Jerusalem,17.5,15551,1,133
Jerusalem,16.4,12036,2,134
Jerusalem,16.5,13287,2,135
Jerusalem,17.1,13877,2,136
Jerusalem,3.9,16636,5,411
Jerusalem,2.1,16794,5,412
Jerusalem,4.6,15897,5,413
Jerusalem,15.3,17591,4,421
Jerusalem,14.1,18701,5,422
Jerusalem,4.1,19683,5,423
Jerusalem,6.5,17029,5,424
Jerusalem,2.2,14466,5,425
Jerusalem,3.3,17454,5,426
Jerusalem,17.9,17458,4,431
Jerusalem,6.3,18791,5,432
Jerusalem,17.1,18548,4,433
Jerusalem,14.6,17508,4,434
Jerusalem,24.3,18781,3,435
Jerusalem,0.7,27550,5,512
Jerusalem,0.5,22396,5,513
Jerusalem,1.4,19993,5,514
Jerusalem,2.4,23075,5,515
Jerusalem,2.7,25308,5,521
Jerusalem,8.9,21720,5,522
Jerusalem,12.8,20124,5,523
Jerusalem,6.1,20416,5,531
Jerusalem,2.1,22237,5,532
Jerusalem,2.3,19650,5,533
Jerusalem,29.2,16271,3,541
Jerusalem,28.5,14466,4,542
Jerusalem,11,11992,5,543
Jerusalem,5,19455,5,812
Jerusalem,0.8,18397,5,821
Jerusalem,1.7,18422,5,822
Jerusalem,1,18928,5,823
Jerusalem,1.5,23929,5,824
Jerusalem,1,21967,5,825
Jerusalem,1.1,21096,5,826
Jerusalem,3.7,22428,5,832
Jerusalem,4.1,20857,5,833
Jerusalem,2.9,21802,5,834
Jerusalem,1.3,22534,5,835
Jerusalem,3,19462,5,836
Jerusalem,12.1,23985,5,841
Jerusalem,6.9,21868,5,842
Jerusalem,18.6,22222,5,843
Jerusalem,27,27936,5,846
Jerusalem,29.5,22995,4,847
Jerusalem,10.4,23137,5,851
Jerusalem,22.4,28993,4,852
Jerusalem,14.2,23986,5,853
Jerusalem,22.2,20884,4,854
Jerusalem,24.4,27017,4,855
Jerusalem,25.6,20673,4,856
Jerusalem,26.6,22278,4,857
Jerusalem,13.2,21848,5,858
Jerusalem,16.8,23574,5,861
Jerusalem,26.5,28241,5,862
Jerusalem,36.6,28144,4,863
Jerusalem,37,24706,4,864
Jerusalem,1.7,19807,5,911
Jerusalem,0.8,20408,5,912
Jerusalem,2.3,19940,5,913
Jerusalem,3.2,22838,5,914
Jerusalem,3.2,23938,5,915
Jerusalem,7,19430,5,921
Jerusalem,12.1,23213,5,922
Jerusalem,14.5,19962,5,923
Jerusalem,28.9,19121,3,925
Jerusalem,8.6,15872,4,931
Jerusalem,7.1,18029,5,932
Jerusalem,6.9,17945,5,933
Jerusalem,9.9,17380,4,934
Jerusalem,33.2,19716,3,1011
Jerusalem,36.4,26618,1,1012
Jerusalem,38.3,20342,2,1013
Jerusalem,34,21372,2,1014
Jerusalem,22.7,21884,5,1015
Jerusalem,18.4,19765,5,1016
Jerusalem,40.1,19755,2,1022
Jerusalem,10.8,20002,5,1031
Jerusalem,15.8,20943,5,1032
Jerusalem,7.2,22611,5,1034
Jerusalem,8.2,19507,5,1035
Jerusalem,30.5,19115,2,1041
Jerusalem,35.5,18229,2,1042
Jerusalem,25.1,18948,2,1043
Jerusalem,17.9,21781,3,1044
Jerusalem,21.9,16368,3,1115
Jerusalem,15.4,18047,4,1121
Jerusalem,15,16246,5,1122
Jerusalem,24.2,21308,4,1123
Jerusalem,24.2,20379,4,1124
Jerusalem,22.2,17957,3,1131
Jerusalem,12.2,15750,4,1132
