Locality,percentage of graduates from BA,value of apartments,symbol statistical area,city symbol,
Jerusalem,2.5,"13,598",111,3000,
Jerusalem,4.0,"13,305",112,3000,
Jerusalem,6.3,"14,869",113,3000,
Jerusalem,6.0,"16,348",114,3000,
Jerusalem,5.8,"14,398",115,3000,
Jerusalem,8.3,"14,598",116,3000,
Jerusalem,14.1,"15,096",121,3000,
Jerusalem,13.0,"13,795",122,3000,
Jerusalem,15.4,"14,155",123,3000,
Jerusalem,15.4,"12,873",124,3000,
Jerusalem,16.1,"12,873",125,3000,
Jerusalem,21.5,"13,823",131,3000,
Jerusalem,18.3,"13,270",132,3000,
Jerusalem,17.5,"15,551",133,3000,
Jerusalem,16.4,"12,036",134,3000,
Jerusalem,16.5,"13,287",135,3000,
Jerusalem,17.1,"13,877",136,3000,
Jerusalem,3.9,"16,636",411,3000,
Jerusalem,2.1,"16,794",412,3000,
Jerusalem,4.6,"15,897",413,3000,
Jerusalem,15.3,"17,591",421,3000,
Jerusalem,14.1,"18,701",422,3000,
Jerusalem,4.1,"19,683",423,3000,
Jerusalem,6.5,"17,029",424,3000,
Jerusalem,2.2,"14,466",425,3000,
Jerusalem,3.3,"17,454",426,3000,
Jerusalem,17.9,"17,458",431,3000,
Jerusalem,6.3,"18,791",432,3000,
Jerusalem,17.1,"18,548",433,3000,
Jerusalem,14.6,"17,508",434,3000,
Jerusalem,24.3,"18,781",435,3000,
Jerusalem,0.7,"27,550",512,3000,
Jerusalem,0.5,"22,396",513,3000,
Jerusalem,1.4,"19,993",514,3000,
Jerusalem,2.4,"23,075",515,3000,
Jerusalem,2.7,"25,308",521,3000,
Jerusalem,8.9,"21,720",522,3000,
Jerusalem,12.8,"20,124",523,3000,
Jerusalem,6.1,"20,416",531,3000,
Jerusalem,2.1,"22,237",532,3000,
Jerusalem,2.3,"19,650",533,3000,
Jerusalem,29.2,"16,271",541,3000,
Jerusalem,28.5,"14,466",542,3000,
Jerusalem,11.0,"11,992",543,3000,
Jerusalem,5.0,"19,455",812,3000,
Jerusalem,0.8,"18,397",821,3000,
Jerusalem,1.7,"18,422",822,3000,
Jerusalem,1.0,"18,928",823,3000,
Jerusalem,1.5,"23,929",824,3000,
Jerusalem,1.0,"21,967",825,3000,
Jerusalem,1.1,"21,096",826,3000,
Jerusalem,3.7,"22,428",832,3000,
Jerusalem,4.1,"20,857",833,3000,
Jerusalem,2.9,"21,802",834,3000,
Jerusalem,1.3,"22,534",835,3000,
Jerusalem,3.0,"19,462",836,3000,
Jerusalem,12.1,"23,985",841,3000,
Jerusalem,6.9,"21,868",842,3000,
Jerusalem,18.6,"22,222",843,3000,
Jerusalem,27.0,"27,936",846,3000,
Jerusalem,29.5,"22,995",847,3000,
Jerusalem,10.4,"23,137",851,3000,
Jerusalem,22.4,"28,993",852,3000,
Jerusalem,14.2,"23,986",853,3000,
Jerusalem,22.2,"20,884",854,3000,
Jerusalem,24.4,"27,017",855,3000,
Jerusalem,25.6,"20,673",856,3000,
Jerusalem,26.6,"22,278",857,3000,
Jerusalem,13.2,"21,848",858,3000,
Jerusalem,16.8,"23,574",861,3000,
Jerusalem,26.5,"28,241",862,3000,
Jerusalem,36.6,"28,144",863,3000,
Jerusalem,37.0,"24,706",864,3000,
Jerusalem,1.7,"19,807",911,3000,
Jerusalem,0.8,"20,408",912,3000,
Jerusalem,2.3,"19,940",913,3000,
Jerusalem,3.2,"22,838",914,3000,
Jerusalem,3.2,"23,938",915,3000,
Jerusalem,7.0,"19,430",921,3000,
Jerusalem,12.1,"23,213",922,3000,
Jerusalem,14.5,"19,962",923,3000,
Jerusalem,28.9,"19,121",925,3000,
Jerusalem,8.6,"15,872",931,3000,
Jerusalem,7.1,"18,029",932,3000,
Jerusalem,6.9,"17,945",933,3000,
Jerusalem,9.9,"17,380",934,3000,
Jerusalem,33.2,"19,716",1011,3000,
Jerusalem,36.4,"26,618",1012,3000,
Jerusalem,38.3,"20,342",1013,3000,
Jerusalem,34.0,"21,372",1014,3000,
Jerusalem,22.7,"21,884",1015,3000,
Jerusalem,18.4,"19,765",1016,3000,
Jerusalem,40.1,"19,755",1022,3000,
Jerusalem,10.8,"20,002",1031,3000,
Jerusalem,15.8,"20,943",1032,3000,
Jerusalem,7.2,"22,611",1034,3000,
Jerusalem,8.2,"19,507",1035,3000,
Jerusalem,30.5,"19,115",1041,3000,
Jerusalem,35.5,"18,229",1042,3000,
